Player,Time,Região,ACS,Kills,Ignorar,Deaths,Assists,ADR (Ignorar),ADR,First Kill,First Death,FK - FD,HS%,Adversário,Região Adiversário,Mapa,Mapa Pick,Lado de Início,Rounds Vencidos,Rounds Perdidos,Resultado,Rounds Ataque,Rounds Defesa,Agente,Data,Etapa,Campeonato,Grupo,Bracket,MD
Turko,SuperMassive Blaze,EMEA,226,18,/16/,16,4,1530,153,2,2,0,"0,44",Acend,EMEA,Ascent,SuperMassive Blaze,Ataque,9,13,Perdedor,7,2,Sage,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
Brave,SuperMassive Blaze,EMEA,211,15,/18/,18,5,1436,"143,6",3,0,3,"0,32",Acend,EMEA,Ascent,SuperMassive Blaze,Ataque,9,13,Perdedor,7,2,Omen,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
pAura,SuperMassive Blaze,EMEA,195,15,/16/,16,4,1331,"133,1",4,5,-1,"0,29",Acend,EMEA,Ascent,SuperMassive Blaze,Ataque,9,13,Perdedor,7,2,Killjoy,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
russ,SuperMassive Blaze,EMEA,178,12,/18/,18,5,1330,133,1,1,0,"0,27",Acend,EMEA,Ascent,SuperMassive Blaze,Ataque,9,13,Perdedor,7,2,Sova,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
Izzy,SuperMassive Blaze,EMEA,166,13,/16/,16,4,1234,"123,4",3,1,2,"0,21",Acend,EMEA,Ascent,SuperMassive Blaze,Ataque,9,13,Perdedor,7,2,Jett,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
cNed,Acend,EMEA,268,21,/15/,15,0,1584,"158,4",3,2,1,"0,25",SuperMassive Blaze,EMEA,Ascent,SuperMassive Blaze,Defesa,13,9,Vencedor,8,5,Jett,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
starxo,Acend,EMEA,251,18,/12/,12,8,1705,"170,5",3,1,2,"0,21",SuperMassive Blaze,EMEA,Ascent,SuperMassive Blaze,Defesa,13,9,Vencedor,8,5,Sage,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
zeek,Acend,EMEA,225,19,/14/,14,5,1354,"135,4",2,2,0,"0,14",SuperMassive Blaze,EMEA,Ascent,SuperMassive Blaze,Defesa,13,9,Vencedor,8,5,Sova,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
Kiles,Acend,EMEA,224,19,/17/,17,4,1548,"154,8",1,2,-1,"0,25",SuperMassive Blaze,EMEA,Ascent,SuperMassive Blaze,Defesa,13,9,Vencedor,8,5,Killjoy,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
BONECOLD,Acend,EMEA,89,7,/15/,15,5,544,"54,4",0,6,-6,"0,27",SuperMassive Blaze,EMEA,Ascent,SuperMassive Blaze,Defesa,13,9,Vencedor,8,5,Astra,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
Izzy,SuperMassive Blaze,EMEA,265,16,/13/,13,2,1556,"155,6",6,0,6,"0,19",Acend,EMEA,Bind,Acend,Defesa,5,13,Perdedor,3,2,Jett,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
pAura,SuperMassive Blaze,EMEA,264,18,/13/,13,1,1649,"164,9",1,5,-4,"0,46",Acend,EMEA,Bind,Acend,Defesa,5,13,Perdedor,3,2,Viper,10/09/2021,0,Masters Berlin 2021,A,Abertura,3
