Player,Time,ACS,Kills,Death,Assists,Kills - Death,ADR,First Kill,First Death,First Kill - First Death,HS%,Adversário,Mapa,Mapa Pick,Lado de Início,Data,Rounds Vencidos,Rounds Perdidos,Astra,Breach,Brimstone,Cypher,Kay/O,Jett,Killjoy,Omen,Phoenix,Raze,Reyna,Sage,Skye,Sova,Viper,Yoru,Etapa,Campeonato,Bracket,MD
Jonn,Gamelanders Blue,322,23,15,8,8,"177,70",5,2,3,16%,SLICK,Ascent,SLICK,Defesa,13/03/2021,13,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Masters #1,Quartas,3
mwzera,Gamelanders Blue,272,19,15,5,4,"152,20",5,2,3,9%,SLICK,Ascent,SLICK,Defesa,13/03/2021,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Masters #1,Quartas,3
Nyang,Gamelanders Blue,237,18,12,5,6,"153,00",1,0,1,15%,SLICK,Ascent,SLICK,Defesa,13/03/2021,13,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
JhoW,Gamelanders Blue,168,12,12,9,0,"104,10",2,1,1,11%,SLICK,Ascent,SLICK,Defesa,13/03/2021,13,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
fznnn,Gamelanders Blue,150,11,10,8,1,"103,20",0,1,-1,14%,SLICK,Ascent,SLICK,Defesa,13/03/2021,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Masters #1,Quartas,3
DiMAS,SLICK,251,17,17,5,0,"161,70",2,1,1,27%,Gamelanders Blue,Ascent,SLICK,Ataque,13/03/2021,7,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
ntk,SLICK,191,12,16,5,-4,"121,70",1,0,1,13%,Gamelanders Blue,Ascent,SLICK,Ataque,13/03/2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Masters #1,Quartas,3
Hastad,SLICK,182,12,18,2,-6,"107,10",2,6,-4,5%,Gamelanders Blue,Ascent,SLICK,Ataque,13/03/2021,7,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Masters #1,Quartas,3
bld,SLICK,179,13,17,7,-4,"104,60",2,4,-2,37%,Gamelanders Blue,Ascent,SLICK,Ataque,13/03/2021,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Masters #1,Quartas,3
DONSA,SLICK,156,10,16,5,-6,"92,60",0,3,-3,27%,Gamelanders Blue,Ascent,SLICK,Ataque,13/03/2021,7,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Jonn,Gamelanders Blue,289,24,14,3,10,"164,80",4,1,3,19%,SLICK,Bind,Gamelanders Blue,Ataque,13/03/2021,13,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
mwzera,Gamelanders Blue,258,19,15,9,4,"167,60",5,2,3,12%,SLICK,Bind,Gamelanders Blue,Ataque,13/03/2021,13,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Masters #1,Quartas,3
Nyang,Gamelanders Blue,244,18,13,4,5,"138,10",1,2,-1,31%,SLICK,Bind,Gamelanders Blue,Ataque,13/03/2021,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
fznnn,Gamelanders Blue,167,12,14,11,-2,"112,70",0,2,-2,24%,SLICK,Bind,Gamelanders Blue,Ataque,13/03/2021,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Masters #1,Quartas,3
JhoW,Gamelanders Blue,132,12,14,2,-2,"79,20",3,2,1,18%,SLICK,Bind,Gamelanders Blue,Ataque,13/03/2021,13,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Hastad,SLICK,261,20,19,3,1,"169,70",2,5,-3,11%,Gamelanders Blue,Bind,Gamelanders Blue,Defesa,13/03/2021,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Masters #1,Quartas,3
ntk,SLICK,217,16,15,9,1,"187,80",1,0,1,17%,Gamelanders Blue,Bind,Gamelanders Blue,Defesa,13/03/2021,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Masters #1,Quartas,3
DiMAS,SLICK,172,12,16,3,-4,"121,50",0,1,-1,21%,Gamelanders Blue,Bind,Gamelanders Blue,Defesa,13/03/2021,9,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
DONSA,SLICK,152,13,17,2,-4,"109,60",4,2,2,32%,Gamelanders Blue,Bind,Gamelanders Blue,Defesa,13/03/2021,9,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
bld,SLICK,135,9,18,11,-9,"87,60",2,5,-3,23%,Gamelanders Blue,Bind,Gamelanders Blue,Defesa,13/03/2021,9,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Masters #1,Quartas,3
Nozwerr,FURIA,366,21,8,5,13,"214,4",3,0,3,6%,Imperial eSports,Split,Imperial eSports,Defesa,13/03/2021,13,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Masters #1,Quartas,3
xand,FURIA,363,21,12,4,9,"197,8",7,1,6,22%,Imperial eSports,Split,Imperial eSports,Defesa,13/03/2021,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Khalil,FURIA,211,13,7,10,6,"129,8",1,0,1,11%,Imperial eSports,Split,Imperial eSports,Defesa,13/03/2021,13,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Quick,FURIA,183,12,7,6,5,"98,9",0,2,-2,23%,Imperial eSports,Split,Imperial eSports,Defesa,13/03/2021,13,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Masters #1,Quartas,3
txddy,FURIA,143,7,11,7,-4,"94,5",2,0,2,16%,Imperial eSports,Split,Imperial eSports,Defesa,13/03/2021,13,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
tuyz,Imperial eSports,220,12,14,4,-2,"190,1",1,2,-1,30%,FURIA,Split,Imperial eSports,Ataque,13/03/2021,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Masters #1,Quartas,3
gustt1nha,Imperial eSports,201,9,16,5,-7,"129,8",1,6,-5,22%,FURIA,Split,Imperial eSports,Ataque,13/03/2021,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Masters #1,Quartas,3
rst,Imperial eSports,191,10,13,5,-3,"241,9",0,1,-1,16%,FURIA,Split,Imperial eSports,Ataque,13/03/2021,3,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Evilkyk,Imperial eSports,158,8,15,5,-7,"89,8",0,2,-2,11%,FURIA,Split,Imperial eSports,Ataque,13/03/2021,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Masters #1,Quartas,3
Biscoit1n,Imperial eSports,120,6,16,3,-10,"75,9",1,2,-1,26%,FURIA,Split,Imperial eSports,Ataque,13/03/2021,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
xand,FURIA,259,19,17,1,2,"132,9",6,4,2,33%,Imperial eSports,Haven,FURIA,Defesa,13/03/2021,7,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Nozwerr,FURIA,243,15,12,8,3,"165,6",0,2,-2,28%,Imperial eSports,Haven,FURIA,Defesa,13/03/2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Masters #1,Quartas,3
txddy,FURIA,185,11,16,5,-5,"122,3",3,1,2,24%,Imperial eSports,Haven,FURIA,Defesa,13/03/2021,7,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Quick,FURIA,129,9,17,9,-8,"59,8",0,1,-1,26%,Imperial eSports,Haven,FURIA,Defesa,13/03/2021,7,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Khalil,FURIA,119,9,16,2,-7,"68,2",1,2,-1,11%,Imperial eSports,Haven,FURIA,Defesa,13/03/2021,7,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Masters #1,Quartas,3
Evilkyk,Imperial eSports,310,23,13,12,10,"202,2",1,2,-1,46%,FURIA,Haven,FURIA,Ataque,13/03/2021,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Masters #1,Quartas,3
